tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,nconst,category,lead_actors_ids,language,country,plot,budget,boxOffice
tt0099938,movie,Kindergarten Cop,1990,111,"Action,Comedy,Crime",6.3,175657,nm0000216,actor,"['nm0000216', 'nm0000542', 'nm0715622', 'nm0001373', 'nm0879186']",English,United States,"In Los Angeles, ruthless drug lord Cullen Crisp murders a man who had provided information about the whereabouts of Crisp's ex-wife, Rachel, who went into hiding years earlier with their young son, Cullen Jr. Crisp is arrested by John Kimble, a gruff, hard-driving LAPD narcotics detective who has pursued him for years, and is detained based on the testimony of sex worker Cindy, who witnessed the murder. Believing Rachel's testimony is essential to securing a conviction, Kimble is partnered with detective Phoebe O'Hara and sent to locate her in Astoria, Oregon.",$26 million,$202 million
tt0099939,movie,King of New York,1990,103,"Crime,Thriller",6.9,48589,nm0000686,actor,"['nm0000686', 'nm0000325', 'nm0000401', 'nm0034519', 'nm0000648']",English,"United States
Italy","Frank White, a drug lord, strives to control New York City's criminal underground. Shortly after his release from Sing Sing Penitentiary, White and his crew, led by his trigger-happy right-hand man Jimmy Jump, consolidate power by eliminating their rivals in the Colombian drug cartel and Triad. White personally executes a Mafia boss who refuses to cooperate with him.",$5 million,$2.6 million
tt0099941,movie,Kinky Business II,1990,83,Adult,5.9,114,nm0018852,actress,"['nm0018852', 'nm0054332', 'nm0124973', 'nm0001000', 'nm0128880']",,,,,
tt0099943,movie,Kishen Kanhaiya,1990,160,"Action,Comedy,Drama",5.9,869,nm0025630,actor,"['nm0025630', 'nm0082848', 'nm0002043', 'nm0455454', 'nm0006762']",Hindi,India,"Leela and Bholaram are a childless couple. Leela is a midwife to a wealthy couple (Sunder Das), and helps Sunder's wife with the labour and delivery.  His wife gives birth to twin boys, there are complications for the mother however, and she passes away without seeing her children.  Leela, realizing the father won't be able to care for both kids, decides to keep one baby for herself.  While Bholaram is anxious about getting found out and dealing with Sunder's consequences for taking his kid, he eventually gives in to his wife.  They present Sunder with good and bad news, that his wife has given birth to a child, but he is now also a widower.",,
tt0099949,movie,Korczak,1990,118,"Biography,Drama,War",7.4,1822,nm0699659,actor,"['nm0699659', 'nm0197963', 'nm0119097', 'nm0874486', 'nm0468965']",Polish,PolandGermanyUnited Kingdom,,,
tt0099953,movie,Kroadh,1990,144,"Action,Crime,Drama",4.8,285,nm0004569,actor,"['nm0004569', 'nm0219971', 'nm0802080', 'nm0814193', 'nm0451600']",Hindi,India,"The story begins with the two brothers living a peaceful life with their policeman father, Inspector Vikram Shukla, and their mother. Their lives are shattered when a notorious criminal named Dharamdas, who is known for kidnapping and assaulting young girls, brutally murders their mother. Their father, Inspector Vikram, arrests Dharamdas, but the witness turns hostile, leading to Dharamdas being set free. The situation escalates, and their father ends up in prison for killing his own brother who was an advocate for the criminals. With their father wrongly imprisoned and their mother dead, the orphaned boys are raised by a kind neighbour.",,
tt0099959,movie,Kurt Olsson - The Film About My Life as Myself,1990,88,Comedy,4.8,703,nm0104561,actor,"['nm0104561', 'nm0928053', 'nm0706709', 'nm0804643', 'nm0720833']",,,,,
tt0099961,movie,Kwagga Strikes Back,1990,92,Comedy,6.4,398,nm0776856,actor,"['nm0776856', 'nm0283412', 'nm0212276', 'nm0079017', 'nm0806822']",,,,,
tt0100222,movie,Naked Tango,1990,93,"Crime,Drama,Romance",5.7,812,nm0000528,actress,"['nm0000528', 'nm0000528', 'nm0721073', 'nm0668455', 'nm0391734']",EnglishSpanish,ArgentinaSwitzerlandJapanUnited States,,,"$81,777"
tt0100224,movie,Narrow Margin,1990,97,"Action,Crime,Thriller",6.6,12029,nm0000432,actor,"['nm0000432', 'nm0000271', 'nm0797725', 'nm0000687', 'nm0001826']",English,United States,"In Los Angeles, divorced editor Carol Hunnicut is on a blind date at a hotel restaurant with widowed lawyer Michael Tarlow, when a waiter delivers a message for him to phone a client. Tarlow goes to his suite to make the call and invites her to come with him. While Hunnicut watches from a darkened room, the client, crime boss Leo Watts, unexpectedly arrives in person along with a gunman, Jack Wootton. Watts has learned that Tarlow stole from him and Wootton shoots Tarlow dead.",$15–21 million,$10.9 million
tt0100232,movie,Navy Seals,1990,113,"Action,Adventure,Thriller",5.6,19737,nm0000221,actor,"['nm0000221', 'nm0000299', 'nm0000695', 'nm0001685', 'nm0642429']",EnglishArabic,United States,"Aircraft carrier USS Forrestal receives a mayday from a civilian cargo ship named the Kuwaiti Star in the Mediterranean Sea. Kuwaiti Star reports that they have been attacked, are on fire and adrift. A deployed Navy SH-3 helicopter attempts to rescue the crew, but is downed by a gunboat and the aircrew is captured by terrorists affiliated with Ben Shaheed.",$21 million,$25.1 million
